Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.03249	-0.172673
0.03186	-0.171864
0.0321	-0.171391
0.03204	-0.171312
0.03209	-0.170996
0.03316	-0.170424
0.03346	-0.170108
0.03369	-0.16999
0.03375	-0.169832
0.03381	-0.169793
0.03395	-0.169793
0.03406	-0.169793
0.03366	-0.169793
0.03366	-0.169793
0.03381	-0.169793
0.03409	-0.169793
0.03394	-0.169793
0.0338	-0.169793
0.03372	-0.169793
0.0343	-0.169793
0.03377	-0.169753
0.03419	-0.169536
0.03517	-0.169063
0.0358	-0.168688
0.03714	-0.168432
0.03987	-0.167939
0.04164	-0.167603
0.04166	-0.167229
0.04048	-0.166617
0.04091	-0.166262
0.04114	-0.165986
0.04306	-0.16567
0.04433	-0.165473
0.04451	-0.165453
0.04465	-0.165453
0.04443	-0.165453
0.04471	-0.165572
0.04533	-0.165572
0.04494	-0.165572
0.04539	-0.165572
0.04524	-0.165572
0.04549	-0.165572
0.04507	-0.165414
0.04597	-0.165177
0.04735	-0.164921
0.04922	-0.164368
0.04623	-0.163875
0.04437	-0.163501
0.04332	-0.162928
0.04451	-0.162376
0.04529	-0.16212
0.0463	-0.161942
0.04686	-0.161567
0.04517	-0.161232
0.04495	-0.161193
0.04449	-0.161153
0.04471	-0.161153
0.04456	-0.161153
0.04469	-0.161193
0.04428	-0.161232
0.0443	-0.161232
0.0441	-0.161232
